"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"CM0964","CM0150","Kollupitiya_South-CM0964-26G/869-24-ODU-1(RTNRF-1)","Landmark-CM0150-26G/869-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.898333,6.903611,79.853333,79.8525,434660,0.000173768856327,6.9,79.867,601,2260
"PU0010","PU0026","Mundal-PU0010-13G/755-23-ODU-1(RTNRF-1)","Andigama-PU0026-13G/755-23-ODU-1(RTNRF-1)","Puttlam","Puttlam",7.81758,7.778611,79.8247,79.9475,434410,0.006968576440221,7.467,80.367,602,2261
"GM0022","GM0205","Kadawatha-GM0022-23G/610-23-ODU-1(RTNRF-1)","Rammuthugala-GM0205-23G/610-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.00115,7.00942,79.9452,79.9652,434360,0.00035597844223,7.706,81.679,603,2262
"KU0052","KU0189","Deegalla-KU0052-18G/1607-23-ODU-1(RTNRF-1)","Delana-KU0189-18G/1607-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.511389,7.4808,80.048333,80.071,434970,0.000631730203619,6.117,81.133,604,2263
"MT0051","MT0115","Pelwehera-MT0051-13G/736-23-ODU-1(RTNRF-1)","Dembaragaspitiya-MT0115-13G/736-23-ODU-1(RTNRF-1)","Matale","Matale",7.899722,7.819167,80.664167,80.726111,434220,0.00037202625159,8.117,80.467,605,2264
"AN0097","AN0044","Kattiyawa-AN0097-13G/599-23-ODU-1(RTNRF-1)","Mahailluppallamma-AN0044-13G/599-23-ODU-1(RTNRF-1)","Anuradapura","Anuradapura",8.103056,8.11647,80.378333,80.4715,434220,0.00010115710814,8.117,80.467,606,2265
"TR0086","TR0009","Kurunchakerny_North-TR0086-23G/819-23-ODU-1(RTNRF-1)","Kinniya-TR0009-23G/819-23-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.500278,8.495833,81.168889,81.186389,434180,0.002028177540616,8.539,81.182,607,2266
"TR0086","TR0009","Kurunchakerny_North-TR0086-23G/819-24-ODU-1(RTNRF-1)","Kinniya-TR0009-23G/819-24-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.500278,8.495833,81.168889,81.186389,434180,0.002028177540616,8.539,81.182,608,2267
"CM0238","CM0904","Meethotamulla-CM0238-26G/1178-23-ODU-1(RTNRF-1)","Wellampitiya_North-CM0904-26G/1178-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.94292,6.93987,79.8858,79.8911,434860,0.000775134493891,6.683,80.4,609,2268
"CM0260","CM0740","Kala_Traders-CM0260-23G/867-23-ODU-1(RTNRF-1)","Unilever_Ind-CM0740-23G/867-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.928056,6.94161,79.876111,79.8689,434660,0.000299850355811,6.9,79.867,610,2269
"CM0260","CM0740","Kala_Traders-CM0260-23G/867-24-ODU-1(RTNRF-1)","Unilever_Ind-CM0740-23G/867-24-ODU-1(RTNRF-1)","Colombo","Colombo",6.928056,6.94161,79.876111,79.8689,434660,0.000299850355811,6.9,79.867,611,2270
"TR0007","TR0012","Muthur-TR0007-15G/739-21-ODU-1(RTNRF-1)","Thoppur-TR0012-15G/739-21-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.450278,8.394167,81.261389,81.297222,434180,0.000278455946724,8.539,81.182,612,2271
"TR0007","TR0012","Muthur-TR0007-15G/739-22-ODU-1(RTNRF-1)","Thoppur-TR0012-15G/739-22-ODU-1(RTNRF-1)","Trincomalee","Trincomalee",8.450278,8.394167,81.261389,81.297222,434180,0.000278455946724,8.539,81.182,613,2272
